SITE,FD,SU,GSL,R10MM,R20MM,RX5DAY,SDII,DROUGHTLEN
1_48_405_26,27.06451612903226,207.3548387096774,359.5806451612903,47.225806451612904,24.387096774193548,165.26580645161292,16.68865078493066,30.677419354838708
1_48_405_51,28.580645161290324,206.25806451612902,359.51612903225805,45.87096774193548,23.70967741935484,162.33612903225807,15.795718303957644,33.03225806451613
1_48_457_15,22.838709677419356,212.51612903225808,361.1290322580645,45.74193548387097,23.032258064516128,175.5774193548387,15.631369056490467,29.677419354838708
1_48_473_26,14,221.51612903225808,361.61290322580646,40.32258064516129,19.516129032258064,172.5225806451613,16.15020808293717,35
1_48_5_95,24.70967741935484,213.83870967741936,360.51612903225805,44.74193548387097,21.967741935483872,160.97387096774193,15.115501580007598,31.64516129032258
2_48_419_12,31.548387096774192,202.5483870967742,357.258064516129,47.61290322580645,24.225806451612904,157.28290322580645,15.770372734202835,31.93548387096774
2_48_419_66,31.032258064516128,202.4516129032258,356.6774193548387,47.483870967741936,24.516129032258064,159.43516129032255,15.820854479856276,31.548387096774192
2_48_423_52,27.741935483870968,200.16129032258064,356.51612903225805,41.29032258064516,21.258064516129032,138.20677419354837,15.16724810394758,36.96774193548387
3_48_145_74,24.677419354838708,211.25806451612902,358.8709677419355,32.38709677419355,15.67741935483871,141.01161290322582,14.514938098822885,47.12903225806452
3_48_21_91,19.161290322580644,223.16129032258064,360.7096774193548,31.161290322580644,15.32258064516129,138.46774193548387,14.885115899867321,49
3_48_89_38,10.161290322580646,232.1290322580645,363.1290322580645,38.25806451612903,18.419354838709676,160.8541935483871,15.484289180927556,44.25806451612903
4_48_39_172,3.5161290322580645,222.41935483870967,363.83870967741933,44.903225806451616,23,177.89290322580644,15.708946651816982,37.29032258064516
5_48_221_27,48.064516129032256,203.25806451612902,349.83870967741933,32,14.225806451612904,133.7358064516129,13.835482621119851,46.516129032258064
5_48_309_24,29.903225806451612,208.67741935483872,356.6774193548387,32.67741935483871,15.580645161290322,135.59935483870967,14.776448995378948,45.29032258064516
5_48_35_62,42.903225806451616,205.83870967741936,352.1290322580645,32.096774193548384,15.35483870967742,139.57193548387096,14.819400035198603,46.225806451612904
5_48_491_55,20,219.3548387096774,360.35483870967744,29.93548387096774,14,128.61290322580646,13.60324728221031,48.354838709677416
1_9_7_289,113.93548387096774,81.64516129032258,249.1290322580645,46.483870967741936,18.806451612903224,118.45580645161291,11.605368611345883,24.64516129032258
2_17_119_20113,95.29032258064517,136.4516129032258,269.6774193548387,40.67741935483871,17.096774193548388,113.6906451612903,12.17417978922826,29.322580645161292
3_18_29_20020,102.7741935483871,125.48387096774194,272.93548387096774,43.806451612903224,16.70967741935484,107.97806451612902,10.67855414800841,26
2_24_13_707,100.25806451612904,120.48387096774194,270.35483870967744,40.903225806451616,15.870967741935484,106.9216129032258,10.496407357850499,29.580645161290324
2_24_25_1454,96.54838709677419,117.58064516129032,270.2903225806452,46.25806451612903,18.129032258064516,125.12677419354837,11.501722599251993,28.193548387096776
2_24_31_1127,90.80645161290323,127.12903225806451,287.06451612903226,42.774193548387096,15.741935483870968,123.19741935483871,10.789797318260108,29.193548387096776
3_24_9_485,70.80645161290323,130.19354838709677,312.7741935483871,43.54838709677419,17.322580645161292,131.38838709677418,11.583217283259053,29.483870967741936
5_24_1_1756,118.25806451612904,120.38709677419355,262.5483870967742,33.903225806451616,11.483870967741936,84.38290322580644,8.52078623206515,32.32258064516129
1_25_13_830,139.2258064516129,93.25806451612904,227.80645161290323,42.74193548387097,16.677419354838708,104.5441935483871,10.565385137523101,25.161290322580644
1_29_55_20185,100.6774193548387,136,274.5806451612903,42.70967741935484,18.096774193548388,119.57258064516128,12.510371140830038,28.322580645161292
